#ObjectID	MJD	Range	Phase angle	RA	DE	dRA	dDE	Length	Beta	A*rho	m_abs	m_app	Luminosity	Shadow	Lon	Lat
#	d	m	deg	deg	deg	arcsec / s	arcsec / s	arcsec	--	m2	mag	mag	W	--	deg	deg
00044	60234.365142882	7.524e+06	0.52291	350.00355	46.94377	195.45603	-126.80950	1.61798	0.67408	2.52828	30.05798	30.17312	4.142e+14	False	-166.77310	47.23536
00045	60234.365142882	7.523e+06	0.44754	358.92400	43.13706	173.43971	-137.30339	1.53618	0.67408	2.52828	30.05798	30.14318	4.142e+14	False	-157.83021	43.43116
00046	60234.365142882	7.523e+06	0.38809	6.72399	38.72169	155.93967	-145.01930	1.47882	0.67408	2.52828	30.05798	30.12260	4.142e+14	False	-150.01523	39.01184
00047	60234.365142882	7.523e+06	0.35006	13.57358	33.84974	142.65103	-150.57171	1.44038	0.67408	2.52828	30.05798	30.11085	4.142e+14	False	-143.15697	34.12927
00048	60234.365142882	7.523e+06	0.33841	19.66032	28.64022	133.07935	-154.42539	1.41567	0.67408	2.52828	30.05798	30.10748	4.142e+14	False	-137.06647	28.90247
00049	60234.365142882	7.523e+06	0.35387	25.15817	23.18433	126.76081	-156.90462	1.40077	0.67408	2.52828	30.05798	30.11198	4.142e+14	False	-131.56859	23.42291
00050	60234.365142882	7.523e+06	0.39187	30.21802	17.55246	123.35184	-158.21577	1.39319	0.67408	2.52828	30.05798	30.12383	4.142e+14	False	-126.51152	17.76162
00051	60234.365142882	7.523e+06	0.44568	34.96914	11.79975	122.65706	-158.46730	1.39161	0.67408	2.52828	30.05798	30.14250	4.142e+14	False	-121.76540	11.97468
00052	60234.365142882	7.523e+06	0.50959	39.52323	5.97162	124.63550	-157.68135	1.39577	0.67408	2.52828	30.05798	30.16753	4.142e+14	False	-117.21812	6.10874
00004	60234.365142882	7.523e+06	0.54780	51.13410	5.99027	124.67215	-157.64819	1.39575	0.67408	2.52828	30.05798	30.18394	4.142e+14	False	-105.60522	6.10874
